,Rank,Title,Score
1,1,User-centric asynchronous capacity,86.69
2,2,Implemented bifurcated framework,88.43
3,3,Virtual transitional database,98.48
4,4,Down-sized contextually-based instruction set,68.95
5,5,Object-based exuding attitude,70.89
6,6,Visionary multi-tasking architecture,92.14
7,7,Configurable reciprocal Graphic Interface,63.71
8,8,Cross-group national array,89.8
9,9,Managed homogeneous knowledge user,98.84
10,10,Operative coherent matrix,85.13
11,11,Up-sized bottom-line Local Area Network,60.45
12,12,Synergistic scalable orchestration,60.63
13,13,De-engineered full-range contingency,74.17
14,14,Down-sized tertiary portal,79.64
15,15,Seamless mission-critical customer loyalty,88.47
16,16,Persistent reciprocal complexity,95.69
17,17,Up-sized next generation utilization,69
18,18,Profit-focused responsive hub,76.38
19,19,Synergistic uniform open architecture,51.98
20,20,Innovative upward-trending capacity,96.9
21,21,Managed grid-enabled service-desk,90.01
22,22,Networked zero administration help-desk,59.62
23,23,Open-architected needs-based frame,64.87
24,24,Reduced local array,66.98
25,25,Front-line non-volatile challenge,55.08
26,26,Reactive interactive firmware,73.62
27,27,Down-sized client-server functionalities,86.02
28,28,Self-enabling zero tolerance customer loyalty,88.04
29,29,Customer-focused full-range encryption,71.71
30,30,Synchronized modular service-desk,70.88
31,31,Automated 4thgeneration capacity,50.6
32,32,Extended bottom-line knowledgebase,72.54
33,33,Exclusive 5thgeneration info-mediaries,82.05
34,34,Enhanced disintermediate standardization,67.26
35,35,Devolved next generation approach,56.45
36,36,Focused actuating array,52.35
37,37,Multi-tiered responsive budgetary management,88.77
38,38,Profit-focused heuristic hierarchy,64.19
39,39,Implemented client-driven model,58.78
40,40,Inverse encompassing implementation,73.07
41,41,Realigned grid-enabled encryption,93.1
42,42,Synergistic grid-enabled function,82.08
43,43,Focused bifurcated algorithm,73.06
44,44,Horizontal systematic hardware,93.78
45,45,Profound regional firmware,87.17
46,46,Down-sized coherent utilization,50.06
47,47,Innovative reciprocal frame,78.6
48,48,Ergonomic full-range website,67.98
49,49,Synchronized well-modulated adapter,75.29
50,50,Future-proofed reciprocal array,58.83
51,51,Innovative coherent hierarchy,75.78
52,52,Public-key multimedia frame,95.8
53,53,Universal mobile neural-net,79.67
54,54,Synergistic needs-based methodology,80.28
55,55,Vision-oriented directional complexity,86.42
56,56,Cross-platform exuding pricing structure,65.04
57,57,Optimized multimedia productivity,82.53
58,58,Intuitive clear-thinking workforce,85.06
59,59,Self-enabling multi-state utilization,59.94
60,60,Persevering content-based emulation,99.77
61,61,Re-engineered encompassing matrices,95.7
62,62,Self-enabling value-added encryption,88.75
63,63,Customer-focused well-modulated software,80.31
64,64,Function-based responsive policy,55.38
65,65,Innovative eco-centric solution,92.13
66,66,Multi-layered bandwidth-monitored workforce,94.99
67,67,Future-proofed bottom-line middleware,67.23
68,68,Stand-alone interactive synergy,92.65
69,69,Versatile secondary protocol,61.73
70,70,Adaptive hybrid hub,88.31
71,71,De-engineered bottom-line concept,69.09
72,72,Multi-lateral dynamic moratorium,77.07
73,73,Upgradable composite productivity,69.37
74,74,Extended stable secured line,98.41
75,75,Reduced responsive installation,97.32
76,76,Universal secondary installation,52.53
77,77,Exclusive 24/7 function,78.37
78,78,Multi-lateral multimedia collaboration,50.64
79,79,Switchable tangible framework,59.17
80,80,Streamlined upward-trending array,83.75
81,81,Customer-focused impactful utilization,65.92
82,82,Streamlined holistic database,51.22
83,83,Compatible eco-centric algorithm,68.09
84,84,Extended cohesive open system,74
85,85,Configurable national open system,94.16
86,86,Organized interactive parallelism,54.87
87,87,Compatible context-sensitive infrastructure,77.23
88,88,Reverse-engineered non-volatile framework,77.98
89,89,Focused grid-enabled solution,68.27
90,90,Cross-platform non-volatile policy,80.79
91,91,Optimized responsive budgetary management,91.73
92,92,Reduced attitude-oriented capability,95.54
93,93,Cloned zero tolerance database,57.65
94,94,Adaptive leadingedge adapter,80.47
95,95,Seamless clear-thinking focus group,92.14
96,96,Digitized even-keeled solution,75.71
97,97,Customizable asynchronous strategy,61.77
98,98,Cloned didactic groupware,65.52
99,99,Open-architected optimal project,82.06
100,100,Adaptive intermediate moratorium,94.39
